question_id,country,dimension,answerability,decision,swarm,gold,outcome
I1,MT,Impact,web,confirm,abstain,yes,abstain
I12,NL,Impact,web,confirm,yes,no,FP
I14,MT,Impact,web,change,abstain,no,abstain
I17,NL,Impact,web,confirm,yes,no,FP
I2,MT,Impact,self_report,confirm,abstain,yes,abstain
I2,NL,Impact,self_report,confirm,yes,yes,match
I22,MT,Impact,web,change,no,no,match
I22,NL,Impact,web,confirm,abstain,no,abstain
I23,MT,Impact,web,change,abstain,no,abstain
I23,NL,Impact,web,confirm,yes,yes,match
I27,NL,Impact,web,confirm,yes,no,FP
I3,NL,Impact,web,confirm,yes,no,FP
I4,MT,Impact,self_report,confirm,abstain,no,abstain
I5,MT,Impact,web,confirm,abstain,no,abstain
I5,NL,Impact,web,confirm,yes,yes,match
I6,MT,Impact,web,confirm,abstain,no,abstain
I6,NL,Impact,web,confirm,yes,yes,match
I7,MT,Impact,web,confirm,abstain,no,abstain
I7,NL,Impact,web,confirm,yes,yes,match
I8,NL,Impact,web,confirm,yes,yes,match
I8-a,MT,Impact,web,confirm,abstain,no,abstain
I8-b,MT,Impact,self_report,confirm,abstain,no,abstain
I8-b,NL,Impact,self_report,confirm,abstain,no,abstain
I8-c,MT,Impact,self_report,confirm,abstain,no,abstain
I8-d,MT,Impact,web,confirm,abstain,no,abstain
I8-d,NL,Impact,web,confirm,yes,no,FP
I9,MT,Impact,web,change,yes,yes,match
I9-a,MT,Impact,self_report,change,abstain,yes,abstain
I9-b,MT,Impact,web,confirm,abstain,no,abstain
I9-b,NL,Impact,web,confirm,yes,no,FP
I9-c,MT,Impact,web,confirm,no,no,match
P10-a,NL,Policy,web,confirm,abstain,no,abstain
P10-b,NL,Policy,web,confirm,yes,no,FP
P13,MT,Policy,web,confirm,abstain,yes,abstain
P15,NL,Policy,web,confirm,yes,yes,match
P17,NL,Policy,web,confirm,abstain,yes,abstain
P18,MT,Policy,self_report,complement,abstain,yes,abstain
P21,MT,Policy,self_report,confirm,abstain,yes,abstain
P22,MT,Policy,self_report,confirm,abstain,yes,abstain
P23,NL,Policy,web,confirm,yes,yes,match
P24,NL,Policy,web,confirm,yes,yes,match
P25,MT,Policy,self_report,confirm,abstain,yes,abstain
P28,NL,Policy,web,confirm,yes,yes,match
P4,MT,Policy,web,complement,yes,yes,match
P4,NL,Policy,web,confirm,yes,yes,match
P5,MT,Policy,web,confirm,abstain,yes,abstain
P5,NL,Policy,web,confirm,abstain,no,abstain
P6,MT,Policy,web,confirm,no,no,match
P6,NL,Policy,web,confirm,abstain,no,abstain
P7,NL,Policy,web,confirm,yes,no,FP
P8,MT,Policy,web,complement,yes,yes,match
P8,NL,Policy,web,confirm,yes,yes,match
P9,MT,Policy,web,complement,abstain,yes,abstain
P9,NL,Policy,web,confirm,yes,no,FP
PT10,MT,Portal,web,confirm,abstain,no,abstain
PT12,MT,Portal,web,confirm,yes,no,FP
PT13,NL,Portal,web,confirm,yes,yes,match
PT15,MT,Portal,web,complement,abstain,yes,abstain
PT16,MT,Portal,web,confirm,no,no,match
PT16,NL,Portal,web,confirm,yes,no,FP
PT17,MT,Portal,web,confirm,abstain,no,abstain
PT17,NL,Portal,web,confirm,abstain,yes,abstain
PT18,MT,Portal,web,confirm,no,no,match
PT19,MT,Portal,web,confirm,no,no,match
PT21,NL,Portal,web,confirm,yes,no,FP
PT23,NL,Portal,self_report,confirm,yes,yes,match
PT24,NL,Portal,web,confirm,yes,no,FP
PT25,MT,Portal,self_report,change,abstain,yes,abstain
PT25,NL,Portal,self_report,change,yes,no,FP
PT26,MT,Portal,web,confirm,abstain,no,abstain
PT27,MT,Portal,web,confirm,abstain,no,abstain
PT27,NL,Portal,web,change,yes,no,FP
PT28,MT,Portal,web,confirm,abstain,yes,abstain
PT29,MT,Portal,self_report,confirm,abstain,no,abstain
PT34,NL,Portal,web,confirm,yes,yes,match
PT35,MT,Portal,web,confirm,no,no,match
PT38,NL,Portal,web,confirm,yes,yes,match
PT39,MT,Portal,web,confirm,no,no,match
PT39,NL,Portal,web,confirm,no,no,match
PT4,MT,Portal,web,confirm,no,no,match
PT4,NL,Portal,web,confirm,no,no,match
PT40,NL,Portal,web,confirm,yes,yes,match
PT42,MT,Portal,web,confirm,abstain,no,abstain
PT42,NL,Portal,web,confirm,abstain,no,abstain
PT6,MT,Portal,web,confirm,no,no,match
PT6,NL,Portal,web,confirm,yes,no,FP
PT9,MT,Portal,web,change,no,no,match
PT9,NL,Portal,web,confirm,yes,yes,match
Q1,NL,Quality,web,complement,yes,yes,match
Q14,NL,Quality,web,confirm,yes,yes,match
Q20,NL,Quality,web,confirm,abstain,no,abstain
Q23,NL,Quality,web,confirm,abstain,no,abstain
Q24,NL,Quality,web,change,yes,yes,match
Q4,NL,Quality,web,confirm,abstain,no,abstain
Q5,NL,Quality,web,change,yes,yes,match
Q6,NL,Quality,web,complement,yes,yes,match
Q9,NL,Quality,web,confirm,yes,yes,match
