question_id,country_code,dimension,answer_shape,swarm_answer,odmi_response,match_status,terminal_status,retry_count,primary_mode,contributing_factor,addressed_by,classification_confidence,evidence_note,runner_up_mode
I16,EE,Impact,binary,inconclusive,yes,differ,accepted_by_adjudicator,3,adjudication_propagation_loss,verifier_substring_gate_collapse,Pipeline fix: write adjudicator_answer to final_answer on verifier_correct / researcher_correct (run_coordinator.py:973-990). Immediate free wins; no lever needed.,high,"Adjudicator verdict=verifier_correct, adjudicator_answer='yes' (matches ODMI), but final_answer='inconclusive'. Researcher rt1 also answered 'yes'. run_coordinator.py:979-990 synthesises final from verifier output, discarding adjudicator_answer. All 4 verifier rounds substring_check=fail; EE gov PDFs 403.",evidence_absent_or_self_report
I17,EE,Impact,binary,inconclusive,yes,differ,accepted_by_adjudicator,3,adjudication_propagation_loss,verifier_substring_gate_collapse,Pipeline fix: write adjudicator_answer to final_answer on verifier_correct / researcher_correct (run_coordinator.py:973-990). Immediate free wins; no lever needed.,high,"Adjudicator verdict=verifier_correct, adjudicator_answer='yes'; final='inconclusive'. Researcher rt2='yes'. Same coordinator path drops adjudicator_answer. 4/4 substring fail.",evidence_absent_or_self_report
I18,EE,Impact,binary,inconclusive,yes,differ,escalated_adjudicator,3,evidence_absent_or_self_report,verifier_substring_gate_collapse,Out of reach for web search: gold answer is a country self-report / internal practice / catalogue computation. Route catalogue-derivable percentages to the D30 tool; otherwise human escalation or accept 'inconclusive' as the honest answer and stop scoring it as a swarm error. Neither lever A nor C touches this.,high,"I18 EE: inconclusive, 4/4 substring fail, never found. ODMI self-report (Equality Center reuse example). No retrievable public artefact.",
I19,EE,Impact,binary,inconclusive,yes,differ,accepted_by_adjudicator,3,evidence_absent_or_self_report,fetch_blocked_403,Out of reach for web search: gold answer is a country self-report / internal practice / catalogue computation. Route catalogue-derivable percentages to the D30 tool; otherwise human escalation or accept 'inconclusive' as the honest answer and stop scoring it as a swarm error. Neither lever A nor C touches this.,high,"I19 EE: inconclusive, 403, 4/4 substring fail. ODMI self-report (Ministry of Climate housing reuse). Self-reported reuse case.",verifier_substring_gate_collapse
I11,FR,Impact,binary,no,yes,differ,accepted_by_verifier,1,verifier_substring_gate_collapse,selection_or_interpretation_miss,"Fix the Verifier's verbatim substring gate: verify against actually-fetched page text, or allow semantic/normalised match, instead of rejecting quotes that cannot be re-matched on un-fetched or 403'd pages. NEITHER lever A nor C addresses this.",high,I11: researcher rt0='yes' then rt1='no' after verifier substring_check=fail. ODMI: 4300+ reuse cases classified by public taxonomy at data.gouv.fr/fr/reuses/ (verifier's own counter-evidence cited that exact page). Correct evidence reachable; killed on verbatim match.,ground_truth_contested
I4,FR,Impact,binary,,yes,no_swarm_answer,agent_failure,3,format_failure,,Lever C directly (constrain output to the allowed answer set). Plus schema-retry hardening for the no_swarm_answer set.,high,"terminal_status=agent_failure, final_failure_reason=schema_invalid after 3 retries. Researcher never emitted a schema-valid answer; ODMI='yes'.",
I5,FR,Impact,binary,inconclusive,yes,differ,accepted_by_verifier,1,verifier_substring_gate_collapse,evidence_absent_or_self_report,"Fix the Verifier's verbatim substring gate: verify against actually-fetched page text, or allow semantic/normalised match, instead of rejecting quotes that cannot be re-matched on un-fetched or 403'd pages. NEITHER lever A nor C addresses this.",medium,I5: researcher rt0='yes' then rt1='inconclusive'; 1/2 substring fail. ODMI is a 4286-char self-report (Bothorel report). Found-then-abandoned.,inconclusive_collapse
I8-a,FR,Impact,binary,inconclusive,yes,differ,escalated_adjudicator,3,verifier_substring_gate_collapse,zero_weight_descriptive,"Fix the Verifier's verbatim substring gate: verify against actually-fetched page text, or allow semantic/normalised match, instead of rejecting quotes that cannot be re-matched on un-fetched or 403'd pages. NEITHER lever A nor C addresses this.",medium,I8-a: researcher rt0='yes' (automated impact dashboards) then collapsed; verifier substring_check=fail; escalate_human. ODMI self-report cites data.gouv.fr/fr/dashboard (public). Zero score weight.,evidence_absent_or_self_report
I8-b,FR,Impact,binary,inconclusive,yes,differ,accepted_by_verifier,3,evidence_absent_or_self_report,zero_weight_descriptive,Out of reach for web search: gold answer is a country self-report / internal practice / catalogue computation. Route catalogue-derivable percentages to the D30 tool; otherwise human escalation or accept 'inconclusive' as the honest answer and stop scoring it as a swarm error. Neither lever A nor C touches this.,high,"I8-b: inconclusive, zero score weight. ODMI self-report (IGN survey via tally.so form).",
I8-d,FR,Impact,binary,inconclusive,yes,differ,accepted_by_verifier,0,zero_weight_descriptive,evidence_absent_or_self_report,Non-scored question (max_score=0): exclude from accuracy or reclassify as non-error. No fix warranted.,high,"I8-d: question_text literally 'Other', scoring yes=0/no=0, ODMI max_score=0. Disagreement carries no score. rt0 inconclusive, no retry.",
I9-b,FR,Impact,binary,inconclusive,yes,differ,escalated_adjudicator,3,evidence_absent_or_self_report,zero_weight_descriptive,Out of reach for web search: gold answer is a country self-report / internal practice / catalogue computation. Route catalogue-derivable percentages to the D30 tool; otherwise human escalation or accept 'inconclusive' as the honest answer and stop scoring it as a swarm error. Neither lever A nor C touches this.,high,"I9-b: inconclusive, zero weight, 4/4 substring fail. ODMI self-report (open data team social media activity).",verifier_substring_gate_collapse
I9-c,FR,Impact,binary,inconclusive,yes,differ,accepted_by_verifier,0,evidence_absent_or_self_report,zero_weight_descriptive,Out of reach for web search: gold answer is a country self-report / internal practice / catalogue computation. Route catalogue-derivable percentages to the D30 tool; otherwise human escalation or accept 'inconclusive' as the honest answer and stop scoring it as a swarm error. Neither lever A nor C touches this.,high,"I9-c: inconclusive rt0, zero weight, 403. ODMI self-report (annual reuser survey).",
P13,EE,Policy,binary,inconclusive,yes,differ,accepted_by_verifier,2,verifier_substring_gate_collapse,fetch_blocked_403,"Fix the Verifier's verbatim substring gate: verify against actually-fetched page text, or allow semantic/normalised match, instead of rejecting quotes that cannot be re-matched on un-fetched or 403'd pages. NEITHER lever A nor C addresses this.",medium,"P13 EE: researcher rt1='yes' then reverted; 3/3 substring fail, 403. ODMI self-report (expert community ~700 people) - a count not on open web; found-then-killed.",evidence_absent_or_self_report
P14,EE,Policy,categorical,inconclusive,top-down,differ,accepted_by_verifier,3,evidence_absent_or_self_report,zero_weight_descriptive,Out of reach for web search: gold answer is a country self-report / internal practice / catalogue computation. Route catalogue-derivable percentages to the D30 tool; otherwise human escalation or accept 'inconclusive' as the honest answer and stop scoring it as a swarm error. Neither lever A nor C touches this.,medium,"P14 EE: categorical, swarm inconclusive vs ODMI 'top-down'; zero weight, 4/4 substring fail. ODMI self-report about ministry reorganisation of the open data team. Governance approach is a self-report.",
P10-a,FR,Policy,binary,,yes,no_swarm_answer,agent_failure,3,format_failure,,Lever C directly (constrain output to the allowed answer set). Plus schema-retry hardening for the no_swarm_answer set.,high,"terminal_status=agent_failure, final_failure_reason=schema_invalid after 3 retries. Researcher never emitted a schema-valid answer; ODMI='yes'.",
P10-b,FR,Policy,binary,no,yes,differ,accepted_by_verifier,0,evidence_absent_or_self_report,,Out of reach for web search: gold answer is a country self-report / internal practice / catalogue computation. Route catalogue-derivable percentages to the D30 tool; otherwise human escalation or accept 'inconclusive' as the honest answer and stop scoring it as a swarm error. Neither lever A nor C touches this.,medium,P10-b FR: swarm 'no' rt0. ODMI 'yes' is aspirational self-report ('Ministries are working on inventories... will include data that cannot be published' - future tense). Swarm's 'no' is defensible; weakly sourced either way.,ground_truth_contested
P17,FR,Policy,binary,inconclusive,yes,differ,accepted_by_verifier,0,selection_or_interpretation_miss,,Coverage/commit fix: enforce a minimum-retry floor (many are rt0 give-ups) and improve source selection. Lever A (diverge queries on rejection) is partially relevant; C is not.,medium,P17: inconclusive at rt0 (no retry). ODMI explanation itself gives public URLs: data.gouv.fr/fr/pages/team/ and a legifrance decree defining team responsibilities. Governance doc is public; swarm did not surface it.,evidence_absent_or_self_report
P18,FR,Policy,binary,inconclusive,yes,differ,accepted_by_verifier,0,selection_or_interpretation_miss,,Coverage/commit fix: enforce a minimum-retry floor (many are rt0 give-ups) and improve source selection. Lever A (diverge queries on rejection) is partially relevant; C is not.,medium,P18: inconclusive at rt0. ODMI: 'the open data team IS the data.gouv.fr team https://www.data.gouv.fr/fr/pages/team/'. Trivially public page not found.,evidence_absent_or_self_report
P20,FR,Policy,binary,,yes,no_swarm_answer,agent_failure,3,format_failure,,Lever C directly (constrain output to the allowed answer set). Plus schema-retry hardening for the no_swarm_answer set.,high,"terminal_status=agent_failure, final_failure_reason=schema_invalid after 3 retries. Researcher never emitted a schema-valid answer; ODMI='yes'.",
P22,FR,Policy,binary,,yes,no_swarm_answer,agent_failure,3,format_failure,,Lever C directly (constrain output to the allowed answer set). Plus schema-retry hardening for the no_swarm_answer set.,high,"terminal_status=agent_failure, final_failure_reason=schema_invalid after 3 retries. Researcher never emitted a schema-valid answer; ODMI='yes'.",
P24,FR,Policy,binary,inconclusive,yes,differ,accepted_by_verifier,0,evidence_absent_or_self_report,fetch_blocked_403,Out of reach for web search: gold answer is a country self-report / internal practice / catalogue computation. Route catalogue-derivable percentages to the D30 tool; otherwise human escalation or accept 'inconclusive' as the honest answer and stop scoring it as a swarm error. Neither lever A nor C touches this.,medium,"P24 FR: inconclusive rt0, 403. ODMI is a 5493-char self-report of portal objectives. Long narrative, no single citable artefact.",selection_or_interpretation_miss
P25,FR,Policy,binary,inconclusive,yes,differ,escalated_adjudicator,3,verifier_substring_gate_collapse,fetch_blocked_403,"Fix the Verifier's verbatim substring gate: verify against actually-fetched page text, or allow semantic/normalised match, instead of rejecting quotes that cannot be re-matched on un-fetched or 403'd pages. NEITHER lever A nor C addresses this.",high,"P25: researcher rt0,rt1='yes' then inconclusive; 4/4 substring fail, 403; escalated. ODMI: marginal-cost charging in French law (public, citable).",evidence_absent_or_self_report
